dataset_id	accession	organism	k	unique_kmers	fasta_path	kmers_path	counts_path	jellyfish_path
ecoli_k21	GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	21	4562542	data/raw/diverse_bacteria_20/ncbi_dataset/data/GCF_000005845.2/GCF_000005845.2_ASM584v2_genomic.fna	data/datasets/real/diverse_bacteria_4/k21/escherichia_coli_k12_mg1655__GCF_000005845.2/kmers.txt	data/datasets/real/diverse_bacteria_4/k21/escherichia_coli_k12_mg1655__GCF_000005845.2/counts.tsv	data/datasets/real/diverse_bacteria_4/k21/escherichia_coli_k12_mg1655__GCF_000005845.2/genome.jf
bacillus_subtilis_k21	GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	21	4167768	data/raw/diverse_bacteria_20/ncbi_dataset/data/GCF_000009045.1/GCF_000009045.1_ASM904v1_genomic.fna	data/datasets/real/diverse_bacteria_4/k21/bacillus_subtilis_168__GCF_000009045.1/kmers.txt	data/datasets/real/diverse_bacteria_4/k21/bacillus_subtilis_168__GCF_000009045.1/counts.tsv	data/datasets/real/diverse_bacteria_4/k21/bacillus_subtilis_168__GCF_000009045.1/genome.jf
pseudomonas_aeruginosa_k21	GCF_000006765.1	Pseudomonas aeruginosa PAO1	21	6212635	data/raw/diverse_bacteria_20/ncbi_dataset/data/GCF_000006765.1/GCF_000006765.1_ASM676v1_genomic.fna	data/datasets/real/diverse_bacteria_4/k21/pseudomonas_aeruginosa_pao1__GCF_000006765.1/kmers.txt	data/datasets/real/diverse_bacteria_4/k21/pseudomonas_aeruginosa_pao1__GCF_000006765.1/counts.tsv	data/datasets/real/diverse_bacteria_4/k21/pseudomonas_aeruginosa_pao1__GCF_000006765.1/genome.jf
borreliella_burgdorferi_k21	GCF_000008685.2	Borreliella burgdorferi B31	21	1337144	data/raw/diverse_bacteria_20/ncbi_dataset/data/GCF_000008685.2/GCF_000008685.2_ASM868v2_genomic.fna	data/datasets/real/diverse_bacteria_4/k21/borreliella_burgdorferi_b31__GCF_000008685.2/kmers.txt	data/datasets/real/diverse_bacteria_4/k21/borreliella_burgdorferi_b31__GCF_000008685.2/counts.tsv	data/datasets/real/diverse_bacteria_4/k21/borreliella_burgdorferi_b31__GCF_000008685.2/genome.jf
